,Name,Position,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range,final
57,Brandin Cooks,WR,5400,NYG@NO 01:00PM ET,12.629,NO,19.5,18.8,13.84,17.8,13.7,13.62,15.069,16.047,,,,,26.5
58,Brian Hoyer,QB,5300,Ten@Hou 01:00PM ET,19.748,Hou,18.7,16.72,16.32,17.72,16.744,13.386,16.9794,16.65277143,,,,,17.3
59,Eric Decker,WR,5300,NYJ@Oak 04:05PM ET,16.06,NYJ,19.0,19.8,14.0,17.9,13.73,14.37,13.084,15.98342857,,,,,18.0
60,Travis Benjamin,WR,5300,Ari@Cle 01:00PM ET,18.071,Cle,13.0,17.4,10.43,15.8,11.5,12.67,13.371,13.453,,,,,5.6
61,Derek Carr,QB,5300,NYJ@Oak 04:05PM ET,17.767,Oak,17.3,11.76,15.24,12.76,15.998,15.05,16.9598,15.00968571,,,,,32.12
62,Tyler Eifert,TE,5300,Cin@Pit 01:00PM ET,16.867,Cin,19.5,21.4,14.37,19.7,12.91,10.25,10.984,15.58771429,,,,,7.9
63,Martavis Bryant,WR,5300,Cin@Pit 01:00PM ET,25.15,Pit,19.0,18.7,12.1,17.5,13.73,10.11,10.465,14.515,,,,,8.9
64,Jeremy Hill,RB,5300,Cin@Pit 01:00PM ET,10.817,Cin,5.5,11.9,10.55,11.3,9.47,7.18,13.121,9.860142857,,,,,7.8
65,Jay Cutler,QB,5200,Min@Chi 01:00PM ET,17.088,Chi,19.4,16.88,15.97,17.88,15.586,18.486,17.0594,17.32305714,,,,,19.54
66,Ryan Fitzpatrick,QB,5200,NYJ@Oak 04:05PM ET,18.68,NYJ,20.8,16.28,18.27,17.28,18.266,14.646,19.3392,17.84017143,,,,,3.04
67,Jason Witten,TE,5200,Sea@Dal 04:25PM ET,13.567,Dal,15.0,16.8,9.29,16.4,10.26,13.54,10.164,13.06485714,,,,,3.6
68,Jameis Winston,QB,5200,TB@Atl 01:00PM ET,16.923,TB,14.3,14.6,15.95,16.6,15.996,17.174,16.125,15.82071429,,,,,19.48
69,Jimmy Graham,TE,5100,Sea@Dal 04:25PM ET,11.929,Sea,16.5,20.6,14.41,19.3,10.89,10.46,11.268,14.77542857,,,,,14.5
70,Nick Foles,QB,5100,SF@StL 01:00PM ET,11.643,StL,12.3,18.38,15.31,19.38,15.128,18.912,11.921,15.90442857,,,,,13.34
71,Landry Jones,QB,5100,Cin@Pit 01:00PM ET,11.89,Pit,,,,,,,1.4296,1.4296,,,,,
72,Kendall Wright,WR,5100,Ten@Hou 01:00PM ET,13.1,Ten,19.0,9.9,10.92,9.1,12.57,14.0,12.364,12.55057143,,,,,6.8
73,Zach Mettenberger,QB,5100,Ten@Hou 01:00PM ET,3.967,Ten,17.8,,13.01,,17.73,,14.4832,15.7558,,,,,4.84
74,Teddy Bridgewater,QB,5100,Min@Chi 01:00PM ET,13.677,Min,18.2,17.52,16.98,18.52,15.35,16.754,17.2616,17.22651429,,,,,12.58
75,Matt Hasselbeck,QB,5000,Ind@Car 08:30PM ET,15.8,Ind,,,,,,,,,,,,,
76,Mike Vick,QB,5000,Cin@Pit 01:00PM ET,6.348,Pit,,,,,,,,,,,,,
77,Josh McCown,QB,5000,Ari@Cle 01:00PM ET,19.54,Cle,14.0,17.9,15.44,18.9,16.81,13.456,13.504,15.71571429,,,,,20.24
78,Matt Cassel,QB,5000,Sea@Dal 04:25PM ET,5.24,Dal,11.8,16.08,9.79,15.08,14.694,17.408,13.2324,14.01205714,,,,,8.18
79,Charlie Whitehurst,QB,5000,Ten@Hou 01:00PM ET,0.0,Ten,,,,,,,,,,,,,
80,Tarvaris Jackson,QB,5000,Sea@Dal 04:25PM ET,0.0,Sea,,,,,,,,,,,,,
81,Derek Anderson,QB,5000,Ind@Car 08:30PM ET,0.0,Car,,,,,,,1.0468,1.0468,,,,,
82,Dan Orlovsky,QB,5000,Det@KC 09:30AM ET,5.32,Det,,,,,,,,,,,,,0.4
83,Kellen Clemens,QB,5000,SD@Bal 01:00PM ET,6.52,SD,,,,,,,,,,,,,
84,Shaun Hill,QB,5000,Min@Chi 01:00PM ET,0.0,Min,,,,,,,1.2438,1.2438,,,,,
85,Matt Moore,QB,5000,Mia@NE 08:25PM ET,0.36,Mia,,,,,,,,,,,,,
86,Drew Stanton,QB,5000,Ari@Cle 01:00PM ET,-0.1,Ari,,,,,,,,,,,,,
87,Alex Smith,QB,5000,Det@KC 09:30AM ET,16.48,KC,20.6,17.06,16.93,18.06,18.596,19.558,17.2672,18.29588571,,,,,27.6
88,Matt Schaub,QB,5000,SD@Bal 01:00PM ET,0.0,Bal,,,,,,,,,,,,,
89,Luke McCown,QB,5000,NYG@NO 01:00PM ET,2.2,NO,,,,,,,,,,,,,
90,Joe Webb,QB,5000,Ind@Car 08:30PM ET,0.0,Car,,,,,,,,,,,,,
91,Chase Daniel,QB,5000,Det@KC 09:30AM ET,0.0,KC,,,,,,,,,,,,,0.16
92,Colin Kaepernick,QB,5000,SF@StL 01:00PM ET,16.131,SF,13.4,12.6,15.54,14.6,15.156,20.418,14.9664,15.24005714,,,,,9.28
93,Scott Tolzien,QB,5000,GB@Den 08:30PM ET,0.0,GB,,,,,,,,,,,,,
94,Case Keenum,QB,5000,SF@StL 01:00PM ET,0.0,StL,,,,,,,1.1548,1.1548,,,,,
95,Jimmy Clausen,QB,5000,Min@Chi 01:00PM ET,3.58,Chi,,,,,,,,,,,,,
96,Ryan Mallett,QB,5000,Ten@Hou 01:00PM ET,7.983,Hou,,,,,,,,,,,,,
97,Kellen Moore,QB,5000,Sea@Dal 04:25PM ET,0.0,Dal,,,,,,,,,,,,,
98,Brandon Weeden,QB,5000,Sea@Dal 04:25PM ET,9.63,Dal,,,,,,,,,,,,,
