Name,Id,Position,Salary,Game,FPPG,teamAbbrev,fftoday,nfl,cbs,fleaflicker,espn,fox,fire,average,max,min,range,rel_range
Jaelen Strong,39373,WR,4700,NO@HOU,3.9,HOU,,8.0,4.34,7.0,,,2.2385,5.394625,8.0,2.2385,5.7615,1.06800750747
Jeremy Butler,54674,WR,4700,BAL@CLE,4.6,BAL,,,5.81,,7.17,5.78,,6.25333333333,7.17,5.78,1.39,0.222281449893
Josh Lambo,32429,K,4700,SD@JAC,8.3,SD,,,,,,,,,,,,
Clive Walford,25775,TE,4700,OAK@TEN,3.8,OAK,2.0,1.4,4.22,1.7,5.78,3.69,2.3845,3.02492857143,5.78,1.4,4.38,1.44796807481
Andrew Franks,62619,K,4700,MIA@NYJ,5.3,MIA,,,,,,,,,,,,
Jason Myers,60745,K,4700,SD@JAC,8.0,JAC,,,,,,,,,,,,
Andre Roberts,11504,WR,4700,NYG@WAS,3.1,WAS,,5.9,,5.0,,2.94,,4.61333333333,5.9,2.94,2.96,0.64161849711
Houston Texans,12556,D,4700,NO@HOU,7.2,HOU,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0.0,0.0
Chandler Catanzaro,24569,K,4700,ARI@SF,9.6,ARI,,,,,,,,,,,,
Brandon Tate,9442,WR,4700,STL@CIN,1.3,CIN,,,,,,1.8,2.9546,2.3773,2.9546,1.8,1.1546,0.485677028562
Jared Cook,7761,TE,4700,STL@CIN,4.5,STL,6.0,8.4,5.47,8.2,7.48,10.78,4.0575,7.19821428571,10.78,4.0575,6.7225,0.9339121806
Blair Walsh,22110,K,4700,MIN@ATL,9.2,MIN,,,,,,,,,,,,
Adam Vinatieri,6668,K,4700,TB@IND,7.1,IND,,,,,,,,,,,,
Denver Broncos,12531,D,4700,NE@DEN,12.6,DEN,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,0.0,0.0
Darrius Heyward-Bey,7784,WR,4700,PIT@SEA,4.1,PIT,,8.8,4.66,7.4,2.57,2.27,,5.14,8.8,2.27,6.53,1.27042801556
Jerome Simpson,7703,WR,4700,ARI@SF,2.5,SF,,,4.18,,,,,4.18,4.18,4.18,0.0,0.0
Rashad Greene,24862,WR,4700,SD@JAC,4.9,JAC,,,,,2.44,2.86,,2.65,2.86,2.44,0.42,0.158490566038
Jordan Todman,14369,RB,4700,PIT@SEA,0.2,PIT,,,3.39,,2.2,1.96,,2.51666666667,3.39,1.96,1.43,0.56821192053
